date,sciarpa,1 gennaio 2022,rosso
2019-02-04,26.0,0.0,81.0
2019-02-11,22.0,0.0,85.0
2019-02-18,22.0,0.0,79.0
2019-02-25,20.0,0.0,78.0
2019-03-04,15.0,0.0,75.0
2019-03-11,15.0,0.0,73.0
2019-03-18,14.0,1.0,77.0
2019-03-25,10.0,0.0,76.0
2019-04-01,11.0,0.0,87.0
2019-04-08,12.0,0.0,78.0
2019-04-15,11.0,0.0,80.0
2019-04-22,9.0,0.0,83.0
2019-04-29,9.0,0.0,78.0
2019-05-06,11.0,0.0,75.0
2019-05-13,11.0,1.0,78.0
2019-05-20,8.0,0.0,72.0
2019-05-27,7.0,0.0,79.0
2019-06-03,7.0,0.0,71.0
2019-06-10,7.0,0.0,71.0
2019-06-17,5.0,0.0,69.0
2019-06-24,5.0,0.0,69.0
2019-07-01,4.0,0.0,71.0
2019-07-08,7.0,0.0,75.0
2019-07-15,7.0,0.0,72.0
2019-07-22,7.0,0.0,75.0
2019-07-29,6.0,0.0,79.0
2019-08-05,7.0,0.0,76.0
2019-08-12,6.0,0.0,76.0
2019-08-19,10.0,0.0,73.0
2019-08-26,10.0,0.0,74.0
2019-09-02,13.0,0.0,82.0
2019-09-09,13.0,0.0,86.0
2019-09-16,14.0,0.0,73.0
2019-09-23,16.0,0.0,75.0
2019-09-30,19.0,0.0,72.0
2019-10-07,22.0,0.0,71.0
2019-10-14,26.0,0.0,75.0
2019-10-21,23.0,0.0,75.0
2019-10-28,30.0,0.0,78.0
2019-11-04,33.0,0.0,79.0
2019-11-11,41.0,0.0,79.0
2019-11-18,44.0,0.0,87.0
2019-11-25,48.0,0.0,84.0
2019-12-02,59.0,0.0,83.0
2019-12-09,77.0,0.0,84.0
2019-12-16,69.0,0.0,94.0
2019-12-23,62.0,0.0,92.0
2019-12-30,48.0,0.0,92.0
2020-01-06,42.0,0.0,81.0
2020-01-13,39.0,0.0,80.0
2020-01-20,30.0,0.0,82.0
2020-01-27,30.0,0.0,82.0
2020-02-03,22.0,0.0,87.0
2020-02-10,23.0,0.0,93.0
2020-02-17,17.0,0.0,80.0
2020-02-24,16.0,0.0,73.0
2020-03-02,16.0,0.0,80.0
2020-03-09,17.0,0.0,65.0
2020-03-16,12.0,0.0,64.0
2020-03-23,11.0,0.0,70.0
2020-03-30,11.0,0.0,70.0
2020-04-06,12.0,0.0,80.0
2020-04-13,8.0,0.0,77.0
2020-04-20,8.0,0.0,81.0
2020-04-27,8.0,0.0,85.0
2020-05-04,7.0,0.0,76.0
2020-05-11,8.0,0.0,78.0
2020-05-18,6.0,0.0,79.0
2020-05-25,7.0,0.0,75.0
2020-06-01,6.0,0.0,84.0
2020-06-08,7.0,0.0,81.0
2020-06-15,7.0,0.0,78.0
2020-06-22,5.0,0.0,75.0
2020-06-29,5.0,0.0,73.0
2020-07-06,6.0,0.0,71.0
2020-07-13,8.0,0.0,73.0
2020-07-20,6.0,0.0,74.0
2020-07-27,5.0,0.0,72.0
2020-08-03,6.0,0.0,72.0
2020-08-10,6.0,0.0,72.0
2020-08-17,6.0,0.0,73.0
2020-08-24,9.0,0.0,75.0
2020-08-31,12.0,0.0,77.0
2020-09-07,12.0,0.0,77.0
2020-09-14,10.0,0.0,70.0
2020-09-21,15.0,0.0,74.0
2020-09-28,22.0,0.0,71.0
2020-10-05,23.0,0.0,71.0
2020-10-12,29.0,0.0,68.0
2020-10-19,30.0,0.0,70.0
2020-10-26,28.0,0.0,69.0
2020-11-02,27.0,0.0,69.0
2020-11-09,32.0,0.0,76.0
2020-11-16,39.0,0.0,80.0
2020-11-23,50.0,0.0,86.0
2020-11-30,55.0,0.0,79.0
2020-12-07,68.0,0.0,84.0
2020-12-14,68.0,0.0,86.0
2020-12-21,56.0,0.0,93.0
2020-12-28,42.0,0.0,100.0
2021-01-04,32.0,0.0,75.0
2021-01-11,32.0,0.0,71.0
2021-01-18,31.0,0.0,74.0
2021-01-25,28.0,1.0,81.0
2021-02-01,22.0,0.0,72.0
2021-02-08,23.0,0.0,77.0
2021-02-15,18.0,0.0,71.0
2021-02-22,16.0,0.0,70.0
2021-03-01,14.0,0.0,75.0
2021-03-08,11.0,0.0,82.0
2021-03-15,13.0,0.0,72.0
2021-03-22,11.0,0.0,81.0
2021-03-29,10.0,0.0,77.0
2021-04-05,9.0,0.0,73.0
2021-04-12,11.0,0.0,77.0
2021-04-19,8.0,0.0,71.0
2021-04-26,8.0,0.0,72.0
2021-05-03,10.0,0.0,68.0
2021-05-10,9.0,0.0,71.0
2021-05-17,8.0,0.0,74.0
2021-05-24,7.0,0.0,69.0
2021-05-31,6.0,0.0,73.0
2021-06-07,7.0,0.0,70.0
2021-06-14,7.0,0.0,75.0
2021-06-21,5.0,0.0,82.0
2021-06-28,6.0,0.0,76.0
2021-07-05,5.0,0.0,75.0
2021-07-12,8.0,0.0,74.0
2021-07-19,8.0,0.0,77.0
2021-07-26,8.0,0.0,72.0
2021-08-02,7.0,0.0,71.0
2021-08-09,6.0,0.0,76.0
2021-08-16,8.0,0.0,78.0
2021-08-23,12.0,0.0,79.0
2021-08-30,11.0,0.0,71.0
2021-09-06,11.0,0.0,70.0
2021-09-13,13.0,1.0,73.0
2021-09-20,11.0,0.0,68.0
2021-09-27,16.0,0.0,70.0
2021-10-04,22.0,0.0,71.0
2021-10-11,31.0,0.0,72.0
2021-10-18,28.0,0.0,73.0
2021-10-25,33.0,0.0,68.0
2021-11-01,36.0,0.0,75.0
2021-11-08,41.0,1.0,77.0
2021-11-15,37.0,1.0,76.0
2021-11-22,48.0,1.0,80.0
2021-11-29,58.0,1.0,75.0
2021-12-06,80.0,2.0,83.0
2021-12-13,82.0,3.0,82.0
2021-12-20,68.0,4.0,78.0
2021-12-27,41.0,100.0,75.0
2022-01-03,39.0,21.0,80.0
2022-01-10,37.0,8.0,77.0
2022-01-17,32.0,6.0,73.0
2022-01-24,33.0,8.0,80.0
2022-01-31,25.0,8.0,82.0
2022-02-07,29.0,2.0,81.0
2022-02-14,20.0,1.0,87.0
2022-02-21,18.0,1.0,77.0
2022-02-28,19.0,1.0,80.0
2022-03-07,19.0,1.0,82.0
2022-03-14,17.0,1.0,78.0
2022-03-21,15.0,1.0,85.0
2022-03-28,14.0,1.0,81.0
2022-04-04,15.0,1.0,82.0
2022-04-11,11.0,1.0,84.0
2022-04-18,12.0,1.0,81.0
2022-04-25,12.0,1.0,85.0
